No,순번,본부명,소방서,주소,전화번호,주소(정),경도,위도,상태
1,1,서울소방재난본부,종로소방서,서울특별시 종로구 종로1길 28(수송동),02-735-6119,서울특별시 종로구 종로1길 28(수송동),126.978907888729,37.5728498408425,정좌표
2,2,서울소방재난본부,중부소방서,서울특별시 중구 퇴계로 394(무학동),02-2234-0119,서울특별시 중구 퇴계로 394(무학동),127.015378843602,37.5648660247626,정좌표
3,3,서울소방재난본부,광진소방서,서울특별시 광진구 광나루로 480(구의동),02-457-0119,서울특별시 광진구 광나루로 480(구의동),127.082778686238,37.5448273491392,정좌표
4,4,서울소방재난본부,용산소방서,서울특별시 용산구 한강대로 167(한강로2가),02-794-0119,서울특별시 용산구 한강대로 167(한강로2가),126.971507147937,37.5341085280183,정좌표
5,5,서울소방재난본부,동대문소방서,서울특별시 동대문구 장한로 34(장안동),02-2249-0119,서울특별시 동대문구 장한로 34(장안동),127.066709989213,37.5638420813043,정좌표
6,6,서울소방재난본부,중랑소방서,서울특별시 중랑구 신내로 183(신내동),02-3423-0119,서울특별시 중랑구 신내로 183(신내동),127.094884861454,37.6153830846235,정좌표
7,7,서울소방재난본부,영등포소방서,서울특별시 영등포구 문래로 197(영등포동4가),02-2675-0119,서울특별시 영등포구 문래로 197(영등포동4가),126.904189124445,37.5184392565295,정좌표
8,8,서울소방재난본부,성북소방서,서울특별시 성북구 종암로 27길 3(종암동),02-921-0119,서울특별시 성북구 종암로 27길 3(종암동),127.031746996734,37.6024214065716,정좌표
9,9,서울소방재난본부,강북소방서,서울특별시 강북구 보건소길 2(번동),02-6946-0119,서울특별시 강북구 보건소길 2(번동),127.004784654989,37.6470062648099,인근좌표
10,10,서울소방재난본부,도봉소방서,서울특별시 도봉구 도봉로 666(방학동),02-3492-3437,서울특별시 도봉구 도봉로 666(방학동),127.043096984986,37.6636453552882,정좌표
11,11,서울소방재난본부,노원소방서,서울특별시 노원구 한글비석로 1길 8(하계동),02-977-0119,서울특별시 노원구 한글비석로 1길 8(하계동),127.071107339414,37.6382551285826,정좌표
12,12,서울소방재난본부,은평소방서,서울특별시 은평구 통일로 962(진관동),02-355-0119,서울특별시 은평구 통일로 962(진관동),126.920196978205,37.6287430441443,정좌표
13,13,서울소방재난본부,서대문소방서,서울특별시 서대문구 연희로 182(연희동),02-3144-1190,서울특별시 서대문구 연희로 182(연희동),126.935996474908,37.5732058691259,정좌표
14,14,서울소방재난본부,마포소방서,서울특별시 마포구 창전로 76(신수동),02-716-0604,서울특별시 마포구 창전로 76(신수동),126.933228592582,37.5490736784942,정좌표
15,15,서울소방재난본부,강남소방서,서울특별시 강남구 테헤란로 629(삼성동),02-553-3315,서울특별시 강남구 테헤란로 629(삼성동),127.066828873176,37.5102771948081,정좌표
16,16,서울소방재난본부,서초소방서,서울특별시 서초구 사평대로 67(반포동),02-537-0119,서울특별시 서초구 사평대로 67(반포동),126.992025168116,37.4987888413285,정좌표
17,17,서울소방재난본부,관악소방서,서울특별시 관악구 관악로 97(봉천동),02-874-8119,서울특별시 관악구 관악로 97(봉천동),126.952686760258,37.4741266608285,정좌표
18,18,서울소방재난본부,동작소방서,서울특별시 동작구 여의대방로16길 55(신대방동),02-847-1190,서울특별시 동작구 여의대방로16길 55(신대방동),126.917718977426,37.4946737759618,정좌표
19,19,서울소방재난본부,강서소방서,서울특별시 강서구 양천로 550(등촌동),02-3663-0119,서울특별시 강서구 양천로 550(등촌동),126.859758112338,37.5579606361409,정좌표
20,20,서울소방재난본부,양천소방서,서울특별시 양천구 목동서로 180(목동),02-2655-1119,서울특별시 양천구 목동서로 180(목동),126.872341553474,37.5302352033935,정좌표
21,21,서울소방재난본부,강동소방서,서울특별시 강동구 성내로 39(성내동),02-470-0119,서울특별시 강동구 성내로 39(성내동),127.125282648794,37.5293785843842,정좌표
22,22,서울소방재난본부,송파소방서,서울특별시 송파구 오금로51길 56(마천동),02-403-2119,서울특별시 송파구 오금로51길 56(마천동),127.142592765256,37.4998350066004,정좌표
23,23,서울소방재난본부,구로소방서,서울특별시 구로구 경인로 408(고척동),02-2618-0119,서울특별시 구로구 경인로 408(고척동),126.865215227799,37.4977924053507,정좌표
24,24,서울소방재난본부,성동소방서,서울특별시 성동구 살곶이길 331(행당동),02-2622-1777,서울특별시 성동구 살곶이길 331(행당동),127.039484940963,37.5537565722967,정좌표
25,25,부산소방안전본부,중부소방서,부산광역시 중구 중앙대로 110(중앙동4가),051-760-4180,부산광역시 중구 중앙대로 110(중앙동4가),129.036729647414,35.1071096414683,정좌표
26,26,부산소방안전본부,부산진소방서,부산광역시 동구 범일로 115(범일동),051-760-4280,부산광역시 동구 범일로 115(범일동),129.059045963164,35.1404333109646,정좌표
27,27,부산소방안전본부,동래소방서,부산광역시 연제구 고분로 216(연산동),051-760-4380,부산광역시 연제구 고분로 216(연산동),129.105746501817,35.1834416683785,정좌표
28,28,부산소방안전본부,북부소방서,부산광역시 사상구 삼덕로 17(삼락동),051-760-4480,부산광역시 사상구 삼덕로 17(삼락동),128.978473110815,35.1745880234864,정좌표
29,29,부산소방안전본부,사하소방서,부산광역시 사하구 장평로 270(신평동),051-760-4500,부산광역시 사하구 장평로 270(신평동),128.973411554653,35.0906364907454,정좌표
30,30,부산소방안전본부,해운대소방서,부산광역시 해운대구 해운대해변로 106(우동),051-760-4600,부산광역시 해운대구 해운대해변로 106(우동),129.143703314643,35.1595596598417,정좌표
31,31,부산소방안전본부,금정소방서,부산광역시 금정구 중앙대로 1789(부곡동),051-760-4780,부산광역시 금정구 중앙대로 1789(부곡동),129.092792551988,35.2440511511761,정좌표
32,32,부산소방안전본부,남부소방서,부산광역시 수영구 광일로 64(광안동),051-760-4880,부산광역시 수영구 광일로 64(광안동),129.107041216981,35.1631610761748,정좌표
33,33,부산소방안전본부,강서소방서,부산광역시 강서구 녹산산단361로 9(송정동),051-760-5080,부산광역시 강서구 녹산산단361로 9(송정동),128.856793511147,35.0895960147994,정좌표
34,34,부산소방안전본부,기장소방서,부산광역시 기장군 정관면 용수로 7,051-760-5100,부산광역시 기장군 정관면 용수로 7,129.179900226704,35.3248180612538,정좌표
35,35,부산소방안전본부,항만소방서,부산광역시 영도구 해양로 297(동삼동),051-760-4980,부산광역시 영도구 해양로 297(동삼동),129.076864473421,35.0817884947626,정좌표
36,36,대구소방안전본부,중부소방서,대구광역시 중구 달구벌대로 1926,053-601-4517,대구광역시 중구 달구벌대로 1926,128.575134929452,35.8621614522406,정좌표
37,37,대구소방안전본부,동부소방서,대구광역시 동구 동대구로 507,053-601-4317,대구광역시 동구 동대구로 507,128.625221229788,35.8759845387211,정좌표
38,38,대구소방안전본부,서부소방서,대구광역시 서구 달서천로 186,053-320-4499,대구광역시 서구 달서천로 186,128.554385834193,35.8818754260479,정좌표
39,39,대구소방안전본부,북부소방서,대구광역시 북구 칠성남로 112,053-350-4700,대구광역시 북구 칠성남로 112,128.592314468581,35.8780012694154,정좌표
40,40,대구소방안전본부,수성소방서,대구광역시 수성구 청호로 87,053-780-5213,대구광역시 수성구 청호로 87,128.644225423966,35.8254698290568,정좌표
41,41,대구소방안전본부,달서소방서,대구광역시 달서구 학산로 75 ,053-607-2216,대구광역시 달서구 학산로 75 ,128.534732825606,35.8310604306612,정좌표
42,42,대구소방안전본부,달성소방서,대구광역시 달성군 현풍면 비슬로 480,053-670-5200,대구광역시 달성군 현풍면 비슬로 480,128.446945562932,35.6824952661062,정좌표
43,43,대구소방안전본부,강서소방서,대구광역시 달성군 다사읍 달구벌대로 920,053-601-4600,대구광역시 달성군 다사읍 달구벌대로 920,128.467426114122,35.8554227373193,정좌표
44,44,인천소방본부,중부소방서,인천시 중구 인중로 204(항동),032-870-5115,인천광역시 중구 인중로 204(항동),126.622570643686,37.4702265953226,정좌표
45,45,인천소방본부,남동소방서,인천시 부평구 부평대로 324(갈산동),032-870-5210,인천광역시 부평구 부평대로 324(갈산동),126.722150358707,37.5202266345115,정좌표
46,46,인천소방본부,부평소방서,인천시 남동구 인주대로 714(구월동),032-723-5310,인천광역시 남동구 인주대로 714(구월동),126.716298100332,37.4489984826265,정좌표
47,47,인천소방본부,서부소방서,인천시 서구 서곶로 292(심곡동),032-723-5440,인천광역시 서구 서곶로 292(심곡동),126.67724837696,37.5433897728099,정좌표
48,48,인천소방본부,공단소방서,인천시 남동구 남동서로 208(고잔동),032-723-5512,인천광역시 남동구 남동서로 208(고잔동),126.693000514451,37.4081759334525,정좌표
49,49,인천소방본부,계양소방서,인천시 계양구 장제로 774(계산동),032-650-5611,인천광역시 계양구 장제로 774(계산동),126.735565402965,37.5371772419339,정좌표
50,50,인천소방본부,남부소방서,인천시 남구 인하로 190(주안동),032-870-3216,인천광역시 남구 인하로 190(주안동),126.669004588541,37.4484004872438,정좌표
51,51,인천소방본부,강화소방서,인천시 강화군 강화읍 남문로 23번길 11,032-930-5811,인천광역시 강화군 강화읍 남문로 23번길 11,126.487449568634,37.7396630805502,정좌표
52,52,인천소방본부,공항소방서,인천시 중구 공항서로 512번길 464(운서동),032-727-6110,인천광역시 중구 공항서로 512번길 464(운서동),126.402352550742,37.4595113427551,인근좌표
53,53,인천소방본부,송도소방서,인천시 연수구 송도동 208-1,032-810-6609,인천광역시 연수구 송도동 208-1,126.651578512256,37.3672744597134,정좌표
54,54,광주소방안전본부,동부소방서,광주광역시 동구 제봉로 210(대인동),062-613-8413,광주광역시 동구 제봉로 210(대인동),126.914553175723,35.154609676383,정좌표
55,55,광주소방안전본부,서부소방서,광주광역시 서구 화운로 197(화정동),062-613-8513,광주광역시 서구 화운로 197(화정동),126.876545834242,35.1565165193979,정좌표
56,56,광주소방안전본부,남부소방서,광주광역시 남구 송암로58번길 13(송하동),062-613-8613,광주광역시 남구 송암로58번길 13(송하동),126.878340127852,35.1105071635276,정좌표
57,57,광주소방안전본부,북부소방서,광주광역시 북구 서하로 290(오치동),062-613-8713,광주광역시 북구 서하로 290(오치동),126.912224298309,35.1867362547989,정좌표
58,58,광주소방안전본부,광산소방서,광주광역시 광산구 하남산단1번로 13(하남동),062-613-8813,광주광역시 광산구 하남산단1번로 13(하남동),126.796326748644,35.1861644872099,정좌표
59,59,대전소방본부,중부소방서,대전시 동구 태전로 134,042-609-6013,대전광역시 동구 태전로 134,127.421905253664,36.3403679571421,정좌표
60,60,대전소방본부,서부소방서,대전시 서구 갈마중로 15,042-609-6213,대전광역시 서구 갈마중로 15,127.371117690954,36.3479037814118,정좌표
61,61,대전소방본부,동부소방서,대전시 대덕구 계족로 682,042-609-6413,대전광역시 대덕구 계족로 682,127.428775697648,36.3726879648961,정좌표
62,62,대전소방본부,북부소방서,대전시 유성구 대덕대로 516,042-609-6613,대전광역시 유성구 대덕대로 516,127.378856423679,36.3792031218467,정좌표
63,63,대전소방본부,남부소방서,대전시 서구 북부서로 67,042-609-6813,대전광역시 서구 북부서로 67,127.340550474099,36.2775578118078,인근좌표
64,64,울산소방본부,중부소방서,울산광역시 중구 종가로 205,052-210-4420,울산광역시 중구 종가로 205,129.299310543705,35.5629508161566,정좌표
65,65,울산소방본부,남부소방서,울산광역시 남구 삼산중로 149,052-210-4720,울산광역시 남구 삼산중로 149,129.335437238168,35.5471310587961,정좌표
66,66,울산소방본부,동부소방서,울산광역시 동구 꽃바위2가길 9,052-279-6320,울산광역시 동구 꽃바위2가길 9,129.412591421481,35.4823509677435,정좌표
67,67,울산소방본부,온산소방서,울산광역시 울주군 온산읍 덕신로 232,052-241-6620,울산광역시 울주군 온산읍 덕신로 232,129.306632415912,35.433382640775,정좌표
68,68,세종소방본부,조치원소방서,세종특별자치시 조치원읍 세종로 2439,044-300-8119,세종특별자치시 조치원읍 세종로 2439,127.288913224767,36.6047990346054,정좌표
69,69,세종소방본부,세종소방서,세종특별자치시 어진동 610,044-300-8454,세종특별자치시 어진동 610,127.271752980549,36.504123913377,정좌표
70,70,경기재난안전본부,수원소방서,경기도 수원시 장안구 정자천로 189번길 12 ,031-8012-9212,경기도 수원시 장안구 정자천로 189번길 12 ,126.995993139674,37.2971991578539,정좌표
71,71,경기재난안전본부,성남소방서,경기도 성남시 수정구 제일로 111,031-720-0212,경기도 성남시 수정구 제일로 111,127.133433178913,37.4364295926771,정좌표
72,72,경기재난안전본부,분당소방서,경기도 성남시 분당구 양현로 14,031-8018-3212,경기도 성남시 분당구 양현로 14,127.119486972496,37.3860403913578,정좌표
73,73,경기재난안전본부,부천소방서,경기도 부천시 원미구 신흥로 115 ,031-650-4212,경기도 부천시 원미구 신흥로 115 ,126.777827962778,37.4932097311295,정좌표
74,74,경기재난안전본부,안양소방서,경기도 안양시 동안구 동안로 82 ,031-470-0212,경기도 안양시 동안구 동안로 82 ,126.955195396007,37.3867823146304,인근좌표
75,75,경기재난안전본부,안산소방서,경기도 안산시 단원구 화랑로 407,031-470-7212,경기도 안산시 단원구 화랑로 407,126.832951782978,37.3217235661047,정좌표
76,76,경기재난안전본부,용인소방서,경기도 용인시 처인구 명지로 75,031-8021-0212,경기도 용인시 처인구 명지로 75,127.188450093222,37.2294629930671,정좌표
77,77,경기재난안전본부,평택소방서,경기도 평택시 남부문예회관앞길 11,031-8053-6212,경기도 평택시 남부문예회관앞길 11,127.433049281431,37.1025803720011,인근좌표
78,78,경기재난안전본부,송탄소방서,경기도 평택시 경기대로 1637 ,031-685-8212,경기도 평택시 경기대로 1637 ,127.062058236186,37.0900540551189,인근좌표
79,79,경기재난안전본부,광명소방서,경기도 광명시 금하로 472,02-2610-3213,경기도 광명시 금하로 472,126.88521520719,37.4486864275472,정좌표
80,80,경기재난안전본부,시흥소방서,경기도 시흥시 정왕중앙로 64,031-310-0212,경기도 시흥시 정왕중앙로 64,127.199713296683,37.8927500627115,정좌표
81,81,경기재난안전본부,군포소방서,경기도 군포시 당산로 310,031-479-8212,경기도 군포시 당산로 310,126.93934699009,37.3697646632522,인근좌표
82,82,경기재난안전본부,화성소방서,경기도 화성시 향남읍 향남로 399,031-8012-6212,경기도 화성시 향남읍 향남로 399,126.920621285938,37.1310105018896,정좌표
83,83,경기재난안전본부,이천소방서,경기도 이천시 경충대로 2739,031-645-5212,경기도 이천시 경충대로 2739,127.431294360253,37.2820992897944,정좌표
84,84,경기재난안전본부,김포소방서,경기도 김포시 감암로 111,031-980-4212,경기도 김포시 감암로 111,126.70853566977,37.6415647165561,정좌표
85,85,경기재난안전본부,광주소방서,경기도 광주시 초월읍 무들로 112,031-799-2212,경기도 광주시 초월읍 무들로 112,127.299506083286,37.3855778086279,정좌표
86,86,경기재난안전본부,안성소방서,경기도 안성시 미양로 855,031-678-4212,경기도 안성시 미양로 855,127.255718815458,37.0004756435509,정좌표
87,87,경기재난안전본부,하남소방서,경기도 하남시 시청길 52,031-799-4212,경기도 하남시 시청길 52,127.280304086576,37.0073420099569,인근좌표
88,88,경기재난안전본부,의왕소방서,경기도 의왕시 오봉로 9,031-596-0212,경기도 의왕시 오봉로 9,126.974762404818,37.3442019014818,정좌표
89,89,경기재난안전본부,오산소방서,경기도 오산시 청학로 67,031-8059-7212,경기도 오산시 청학로 67,127.064634404582,37.1550196619629,정좌표
90,90,경기재난안전본부,여주소방서,경기도 여주시 우암로 110 ,031-887-7212,경기도 여주시 우암로 110 ,127.625960532511,37.2914087303953,정좌표
91,91,경기재난안전본부,양평소방서,경기도 양평군 양평읍 경강로 2047,031-770-0212,경기도 양평군 양평읍 경강로 2047,127.507339658147,37.5003383087525,정좌표
92,92,경기재난안전본부,과천소방서,경기도 과천시 통영길 8,02-331-4212,경기도 과천시 통영길 8,129.403684418382,36.5977243659288,인근좌표
93,93,경기북부소방재난본부,고양소방서,경기도 고양시 덕양구 고양대로 1342,031-931-0212,경기도 고양시 덕양구 고양대로 1342,126.833531629555,37.6548171400772,정좌표
94,94,경기북부소방재난본부,일산소방서,경기도 고양시 일산동구 중앙로 1325,031-930-0212,경기도 고양시 일산동구 중앙로 1325,126.76962652301,37.663281925407,정좌표
95,95,경기북부소방재난본부,의정부소방서,경기도 의정부시 의정로 48 ,031-849-7111,경기도 의정부시 의정로 48 ,127.0357888712,37.7373116873371,정좌표
96,96,경기북부소방재난본부,남양주소방서,경기도 남양주시 평내로 25 ,031-590-0212,경기도 남양주시 평내로 25 ,127.232240434152,37.6433220225028,정좌표
97,97,경기북부소방재난본부,파주소방서,경기도 파주시 파주읍 통일로1564,031-956-9212,경기도 파주시 파주읍 통일로1564,126.789974040238,37.8475313715969,정좌표
98,98,경기북부소방재난본부,구리소방서,경기도 구리시 아차산로 487번길 46,031-570-6214,경기도 구리시 아차산로 487번길 46,127.127833123057,37.598289419226,정좌표
99,99,경기북부소방재난본부,포천소방서,경기도 포천시 군내면 호국로 1538,031-538-5212,경기도 포천시 군내면 호국로 1538,127.202616271935,37.8913503171125,정좌표
100,100,경기북부소방재난본부,양주소방서,경기도 양주시 백석읍 꿈나무로 156,031-849-8435,경기도 양주시 백석읍 꿈나무로 156,126.989397922811,37.7958710296519,정좌표
101,101,경기북부소방재난본부,동두천소방서,경기도 동두천시 지행로 6(지행동),031-830-5504,경기도 동두천시 지행로 6(지행동),127.047601020587,37.892263750205,정좌표
102,102,경기북부소방재난본부,가평소방서,경기도 가평군 가평읍 가화로36,031-580-0212,경기도 가평군 가평읍 가화로36,127.516447439974,37.8232633131636,정좌표
103,103,경기북부소방재난본부,연천소방서,경기도 연천군 전곡읍 평화로 892,031-830-0212,경기도 연천군 전곡읍 평화로 892,127.069010423922,38.0481565554784,정좌표
104,104,강원소방본부,춘천소방서,강원도 춘천시 후석로 446,033-241-0119,강원도 춘천시 후석로 446,127.743321691362,37.8893811069601,정좌표
105,105,강원소방본부,원주소방서,강원도 원주시 남원로 487,033-763-4119,강원도 원주시 남원로 487,127.944423031508,37.3283397283574,정좌표
106,106,강원소방본부,강릉소방서,강원도 강릉시 선수촌로 64-28(홍제동),033-643-3119,강원도 강릉시 선수촌로 64-28(홍제동),128.872661829929,37.7570288036781,정좌표
